"baseMean","log2FoldChange","lfcSE","pvalue","padj"
998.836295686365,4.55761669310477,0.186055038448479,8.51254088752583e-136,7.32035953622784e-132
495.970866947847,3.27924529667493,0.132694392827029,5.23980071102941e-136,7.32035953622784e-132
3414.35250143826,2.93523723382942,0.122987950061616,4.57493889166763e-128,2.62281246659306e-124
12725.5483446414,3.75291821526525,0.158545259772862,2.81924131545053e-127,1.21220328461084e-123
2344.741806848,3.34052918813319,0.143665499810358,3.23875717198081e-122,1.11406769201796e-118
12309.0438683843,3.71444293009507,0.169282106300162,7.17546567236237e-110,2.05684723498267e-106
3014.4054257626,1.96758758350004,0.0912870300445633,2.52705265190654e-104,6.20896836573438e-101
5401.52919649821,2.02710991160961,0.0959515425319597,1.9008635706972e-100,4.08661906905265e-97
3661.03493050943,2.1965946733888,0.107006193234976,1.81110693143694e-95,3.461025345976e-92
30361.9266493912,2.33317650545209,0.117918163537201,6.43771242902331e-89,1.10722216066772e-85
1225.31755701509,2.21681955888861,0.113715938488332,4.68072127753262e-86,6.81968933098023e-83
1101.38949140574,1.88076890839148,0.0963508546585529,4.75819942855763e-86,6.81968933098023e-83
509.128457839925,-3.67535338716445,0.191226049216827,1.06690366205652e-84,1.41151354490078e-81
5518.74001305685,2.18104525243735,0.113299754487185,3.20126668335474e-84,3.67057237913454e-81
777.618872082476,3.17533843198902,0.165527844411858,3.13721031253235e-84,3.67057237913454e-81
562.04491384198,4.43374069820321,0.237006177855962,1.13173835898365e-80,1.21654800225999e-77
2654.93588434144,-2.51398966360707,0.136268688946805,4.61502071251266e-78,4.66904360202972e-75
1367.56703569229,-1.80472069984982,0.101041884715362,1.07895025208285e-72,1.03093696586517e-69
2060.35693212781,2.89930892848128,0.16402923116404,2.36813089527014e-72,2.14365701409217e-69
314.349923444062,-2.74099494335545,0.153873638218149,3.52186345088584e-72,3.02862647458928e-69
25180.2998964898,-1.89982935677328,0.107729958364239,3.17538974488779e-71,2.6006442010631e-68
886.464850413302,-1.74749267243733,0.100197646784597,3.1078294047516e-69,2.42961626965104e-66
671.224041765585,1.88580570284098,0.108756788094076,1.44364927104502e-68,1.07953581794362e-65
1219.96089854804,-2.17531013896845,0.12669619008619,1.64291364957593e-67,1.17735299412735e-64
1041.82976277099,1.97428599043865,0.115519570690711,6.71603992430865e-67,4.62036682632738e-64
8580.29129170707,2.24206555909739,0.132798075275157,6.11672399338567e-66,4.04621292162462e-63
1283.73777067204,-2.3957654324131,0.142207690867964,1.1093511271135e-65,7.06656667971301e-63
1469.83119653162,1.5079860450651,0.0889276742968774,1.16442112033805e-65,7.15245673167646e-63
1971.36937634418,2.30450231642606,0.137141195243419,3.8655511454602e-65,2.29253841899207e-62
11210.2327160418,1.43604630655181,0.0860068560900352,6.68398694210538e-64,3.83192971390901e-61
8024.7976840304,1.72448512722632,0.104761831928817,7.16748221218473e-63,3.97656537314081e-60
3237.33928534783,2.40658664842095,0.1466705151211,1.79024864201939e-62,9.62202699815357e-60
419.036405393712,3.42291493793403,0.209523573960847,5.37496519560825e-62,2.8013341333111e-59
7442.65445940267,2.17241560777267,0.136777027712453,1.77577283897928e-58,8.9827991345896e-56
334.027914985644,-3.0192186768599,0.190379862931423,5.2395627960693e-58,2.57472115798846e-55
2131.52931228582,1.80143780740777,0.114959187980937,9.92602127627031e-57,4.74215666473814e-54
945.172570556691,2.27027582605205,0.14601192361643,4.46827403030264e-56,2.07702283911284e-53
5038.37329643745,1.91360428564333,0.124195728217542,4.56870123627202e-55,2.0678182253327e-52
